"","grid_id","abundance"
"1","74",2
"2","77",1
"3","G110.10",1
"4","G112.1",1
"5","G126.3",1
"6","G127.4",1
"7","G127.5",1
"8","G143.2",1
"9","G143.4",1
"10","G25.3",1
"11","G28.3",1
"12","G4.6",2
"13","G54.5",1
"14","G55.10",2
"15","G55.2",2
"16","G55.3",2
"17","G55.4",2
"18","G55.9",1
"19","G56.1",1
"20","G56.6",1
"21","G58.3",1
"22","G58.5",1
"23","G58.6",1
"24","G58.7",2
"25","G65.3",1
"26","G65.7",2
"27","G65.8",1
"28","G67.6",1
"29","G67.7",1
"30","G67.9",1
"31","G7.6",2
"32","G7.7",1
"33","G72.2",1
"34","G80.1",1
"35","G80.4",2
"36","G80.5",1
"37","G87.1",1
"38","G87.4",2
"39","G87.7",2
"40","G87.8",6
"41","G92.6",1
"42","G92.7",1
"43","G96.5",2
"44","GN.2",1
"45","GN.7",1
