"","grid_id","abundance"
"1","69",7
"2","71",1
"3","74",17
"4","77",4
"5","G106.7",2
"6","G110.4",2
"7","G112.1",4
"8","G113.5",5
"9","G122.1",3
"10","G143.1",1
"11","G143.3",2
"12","G143.4",351
"13","G143.6",3
"14","G144.2",16
"15","G144.4",100
"16","G22.5",1
"17","G23.8",2
"18","G27.2",1
"19","G28.6",6
"20","G36.4",1
"21","G36.5",6
"22","G36.7",1
"23","G37.8",1
"24","G42.2",3
"25","G42.9",1
"26","G45.1",3
"27","G45.3",2
"28","G45.5",1
"29","G48.9",1
"30","G54.3",1
"31","G55.1",2
"32","G55.10",2
"33","G55.2",4
"34","G55.3",4
"35","G55.4",4
"36","G55.5",3
"37","G55.6",10
"38","G55.9",1
"39","G56.2",1
"40","G58.1",5
"41","G58.2",1
"42","G58.4",1
"43","G58.5",2
"44","G58.6",2
"45","G58.7",2
"46","G58.8",5
"47","G61.2",20
"48","G61.4",1
"49","G61.5",1
"50","G61.7",3
"51","G61.8",1
"52","G65.5",1
"53","G67.1",1
"54","G67.4",3
"55","G67.8",12
"56","G7.9",1
"57","G71.6",2
"58","G79.1",10
"59","G80.1",6
"60","G80.2",201
"61","G80.4",1
"62","G87.2",1
"63","G92.3",20
"64","G92.5",16
"65","G92.6",50
"66","GN.10",3
"67","GN.2",1
"68","GN.3",2
"69","GN.5",4
"70","GN.6",1
"71","GN.7",2
"72","GN.8",4
"73","GN.9",5
"74","GN2.1",3
"75","GN2.2",1
"76","GN2.3",3
"77","GN2.4",3
"78","GN2.6",1
"79","GNEW.1",58
