"","grid_id","abundance"
"1","69",5
"2","71",3
"3","72",1
"4","75",1
"5","77",5
"6","G1.1",2
"7","G1.2",2
"8","G1.4",2
"9","G1.9",1
"10","G106.2",2
"11","G106.3",1
"12","G106.4",1
"13","G106.5",1
"14","G106.7",2
"15","G106.8",2
"16","G106.9",2
"17","G110.1",1
"18","G110.10",1
"19","G110.2",1
"20","G110.7",20
"21","G110.9",2
"22","G112.1",1
"23","G112.2",1
"24","G112.5",1
"25","G113.1",1
"26","G113.2",2
"27","G113.3",1
"28","G113.4",5
"29","G114.1",10
"30","G114.2",1
"31","G114.3",1
"32","G119.4",1
"33","G119.5",4
"34","G122.1",5
"35","G122.3",1
"36","G122.5",2
"37","G13.5",1
"38","G13.6",1
"39","G143.2",1
"40","G143.3",2
"41","G143.4",2
"42","G144.1",2
"43","G144.2",3
"44","G144.3",2
"45","G144.4",3
"46","G145.2",1
"47","G22.1",1
"48","G22.2",1
"49","G23.2",2
"50","G23.3",1
"51","G23.4",20
"52","G23.5",2
"53","G23.7",11
"54","G23.8",2
"55","G23.9",1
"56","G25.1",2
"57","G28.1",1
"58","G36.1",2
"59","G36.3",1
"60","G36.4",1
"61","G36.6",2
"62","G37.1",4
"63","G37.2",2
"64","G37.3",1
"65","G37.4",1
"66","G37.5",1
"67","G37.6",4
"68","G37.7",6
"69","G37.8",5
"70","G37.9",3
"71","G38.7",2
"72","G4.1",2
"73","G4.2",1
"74","G4.3",3
"75","G42.1",1
"76","G42.2",1
"77","G42.3",1
"78","G42.4",1
"79","G42.5",1
"80","G42.6",9
"81","G45.2",13
"82","G45.3",2
"83","G45.7",1
"84","G45.8",1
"85","G45.9",1
"86","G47.6",1
"87","G47.7",1
"88","G48.3",3
"89","G48.4",1
"90","G48.5",21
"91","G48.6",1
"92","G48.7",1
"93","G54.3",1
"94","G55.1",2
"95","G55.10",2
"96","G55.2",1
"97","G55.6",1
"98","G55.7",1
"99","G55.8",5
"100","G56.2",2
"101","G58.1",1
"102","G58.2",5
"103","G58.5",2
"104","G58.7",2
"105","G58.8",2
"106","G61.1",1
"107","G61.2",4
"108","G61.3",1
"109","G61.4",5
"110","G61.5",2
"111","G61.6",1
"112","G61.7",3
"113","G65.1",7
"114","G65.4",1
"115","G65.5",1
"116","G65.6",2
"117","G66.1",1
"118","G66.2",3
"119","G66.4",2
"120","G66.7",2
"121","G66.8",1
"122","G67.1",66
"123","G67.2",1
"124","G67.3",13
"125","G67.5",1
"126","G67.7",2
"127","G67.8",5
"128","G67.9",2
"129","G7.1",1
"130","G7.2",2
"131","G7.3",2
"132","G7.4",1
"133","G7.5",1
"134","G7.6",1
"135","G7.7",1
"136","G71.2",1
"137","G71.4",3
"138","G71.6",2
"139","G72.2",1
"140","G72.4",1
"141","G72.5",2
"142","G72.6",2
"143","G79.3",3
"144","G79.4",1
"145","G79.5",2
"146","G79.6",1
"147","G79.7",1
"148","G79.8",1
"149","G80.1",1
"150","G80.3",1
"151","G80.4",10
"152","G80.6",5
"153","G80.7",1
"154","G80A.1",1
"155","G87.1",1
"156","G87.3",1
"157","G92.1",1
"158","G92.2",1
"159","G92.3",1
"160","G92.7",1
"161","G92.9",1
"162","G97.1",2
"163","GN.10",6
"164","GN.3",2
"165","GN.4",1
"166","GN.5",4
"167","GN.6",2
"168","GN.7",1
"169","GN.8",3
"170","GN2.2",5
"171","GN2.3",1
"172","GN2.4",3
"173","GN2.8",2
"174","YU.2",1
"175","YU.4",2
"176","YU.5",1
