"","grid_id","abundance","sub_richness"
"1","66",12,7
"2","67",23,7
"3","68",25,9
"4","69",19,6
"5","71",8,6
"6","72",25,9
"7","73",15,5
"8","74",13,5
"9","75",18,9
"10","77",27,5
"11","G1.1",5,3
"12","G1.10",10,7
"13","G1.2",16,8
"14","G1.3",27,5
"15","G1.4",4,4
"16","G1.5",12,9
"17","G1.6",10,5
"18","G1.7",5,4
"19","G1.8",5,1
"20","G1.9",5,5
"21","G106.1",19,8
"22","G106.2",5,5
"23","G106.3",103,4
"24","G106.4",4,3
"25","G106.5",8,6
"26","G106.6",7,4
"27","G106.7",7,4
"28","G106.8",13,6
"29","G106.9",32,7
"30","G110.1",14,4
"31","G110.10",11,8
"32","G110.2",9,3
"33","G110.3",25,7
"34","G110.4",9,6
"35","G110.5",5,3
"36","G110.6",9,8
"37","G110.7",13,7
"38","G110.8",8,5
"39","G110.9",10,5
"40","G112.1",8,4
"41","G112.2",10,6
"42","G112.3",6,5
"43","G112.4",15,5
"44","G112.5",14,7
"45","G112.6",7,5
"46","G113.1",40,10
"47","G113.2",12,5
"48","G113.3",7,4
"49","G113.4",10,6
"50","G113.5",8,6
"51","G114.1",9,5
"52","G114.2",11,5
"53","G114.3",10,6
"54","G114.4",6,3
"55","G114.5",9,5
"56","G114.6",8,4
"57","G114.7",16,6
"58","G114.8",8,4
"59","G114.9",10,7
"60","G119.1",5,5
"61","G119.2",15,5
"62","G119.3",10,6
"63","G119.4",9,4
"64","G119.5",21,5
"65","G119.6",13,4
"66","G119.7",16,7
"67","G122.1",3,3
"68","G122.2",13,5
"69","G122.3",16,8
"70","G122.4",8,3
"71","G122.5",4,4
"72","G122.6",15,8
"73","G126.1",6,3
"74","G126.2",2,2
"75","G126.3",2,2
"76","G127.1",9,7
"77","G127.2",55,5
"78","G127.3",7,7
"79","G127.4",4,3
"80","G127.5",7,2
"81","G13.1",15,7
"82","G13.2",9,3
"83","G13.3",28,5
"84","G13.4",7,6
"85","G13.5",8,4
"86","G13.6",8,5
"87","G13.7",9,4
"88","G13.8",10,6
"89","G143.1",48,5
"90","G143.2",13,6
"91","G143.3",7,5
"92","G143.4",24,9
"93","G143.5",3,2
"94","G143.6",15,3
"95","G143.7",9,3
"96","G144.1",12,5
"97","G144.2",2,2
"98","G144.3",7,4
"99","G144.4",5,5
"100","G145.1",8,5
"101","G145.2",6,4
"102","G145.3",2,2
"103","G145.4",2,1
"104","G22.1",28,4
"105","G22.2",14,10
"106","G22.3",20,8
"107","G22.4",8,6
"108","G22.5",13,6
"109","G22.6",10,6
"110","G22.7",19,7
"111","G22.8",217,6
"112","G23.1",6,3
"113","G23.2",14,7
"114","G23.3",24,6
"115","G23.4",16,6
"116","G23.5",37,9
"117","G23.6",11,4
"118","G23.7",35,4
"119","G23.8",4,3
"120","G23.9",6,4
"121","G25.1",26,9
"122","G25.2",11,6
"123","G25.3",19,4
"124","G25.4",8,6
"125","G25.5",15,1
"126","G25.6",9,5
"127","G25.7",2,1
"128","G27.1",8,6
"129","G27.2",13,8
"130","G27.3",8,7
"131","G27.4",10,4
"132","G27.5",31,10
"133","G27.6",4,2
"134","G27.7",9,3
"135","G28.1",11,4
"136","G28.2",6,4
"137","G28.3",7,5
"138","G28.4",6,4
"139","G28.5",18,6
"140","G28.6",13,7
"141","G28.7",13,4
"142","G28.8",11,2
"143","G36.1",6,5
"144","G36.2",20,10
"145","G36.3",19,11
"146","G36.4",17,8
"147","G36.5",20,8
"148","G36.6",12,5
"149","G36.7",26,8
"150","G37.1",15,4
"151","G37.2",22,9
"152","G37.3",31,6
"153","G37.4",11,6
"154","G37.5",9,6
"155","G37.6",14,7
"156","G37.7",10,7
"157","G37.8",3,2
"158","G37.9",19,8
"159","G38.1",28,7
"160","G38.2",6,3
"161","G38.3",2,2
"162","G38.4",3,3
"163","G38.5",5,4
"164","G38.6",9,3
"165","G38.7",9,6
"166","G38.8",8,4
"167","G4.1",18,6
"168","G4.2",18,10
"169","G4.3",9,5
"170","G4.4",5,2
"171","G4.5",14,6
"172","G4.6",4,3
"173","G4.7",4,3
"174","G4.8",2,2
"175","G4.9",1,1
"176","G42.1",2,2
"177","G42.10",6,4
"178","G42.2",1,1
"179","G42.3",16,6
"180","G42.4",19,7
"181","G42.5",11,4
"182","G42.6",27,8
"183","G42.7",4,2
"184","G42.8",3,3
"185","G42.9",7,4
"186","G45.1",14,5
"187","G45.2",52,7
"188","G45.3",3,3
"189","G45.4",13,6
"190","G45.5",27,8
"191","G45.6",33,9
"192","G45.7",21,5
"193","G45.8",17,11
"194","G45.9",5,4
"195","G47.1",26,6
