system:time_start,NDVI
"Jul 3, 2021",0.167
"Jul 13, 2021",0.163
"Jul 23, 2021",0.179
"Aug 2, 2021",0.19
"Aug 12, 2021",
"Aug 22, 2021",0.245
"Sep 1, 2021",0.306
"Sep 11, 2021",
"Sep 21, 2021",0.348
"Oct 1, 2021",0.387
"Oct 11, 2021",0.395
"Oct 21, 2021",0.441
"Oct 31, 2021",0.301
"Nov 10, 2021",0.275
"Nov 20, 2021",0.268
"Nov 30, 2021",0.269
"Dec 10, 2021",0.23
"Dec 20, 2021",0.26
"Dec 30, 2021",0.248
"Jan 9, 2022",0.238
"Jan 19, 2022",0.238
"Jan 29, 2022",0.143
"Feb 8, 2022",0.123
"Feb 18, 2022",0.115
"Feb 28, 2022",0.107
"Mar 10, 2022",0.103
"Mar 20, 2022",0.103
"Mar 30, 2022",0.103
"Apr 9, 2022",0.105
"Apr 19, 2022",0.088
"Apr 29, 2022",0.092
"May 9, 2022",0.084
"May 19, 2022",0.084
"May 29, 2022",0.084
"Jun 8, 2022",0.084
"Jun 18, 2022",0.127
"Jun 28, 2022",
"Jul 8, 2022",0.15
"Jul 18, 2022",0.183
"Jul 28, 2022",
"Aug 7, 2022",0.224
"Aug 17, 2022",0.22
"Aug 27, 2022",0.205
"Sep 6, 2022",0.303
"Sep 16, 2022",0.299
"Sep 26, 2022",0.295
"Oct 6, 2022",0.291
"Oct 16, 2022",0.303
"Oct 26, 2022",0.314
"Nov 5, 2022",0.268
"Nov 15, 2022",0.229
"Nov 25, 2022",0.178
"Dec 5, 2022",0.154
"Dec 15, 2022",0.158
"Dec 25, 2022",0.16
"Jan 4, 2023",0.127
"Jan 14, 2023",0.144
"Jan 24, 2023",0.131
"Feb 3, 2023",0.139
"Feb 13, 2023",0.127
"Feb 23, 2023",0.123
