system:time_start,NDVI
"Jul 3, 2021",0.165
"Jul 3, 2021",
"Jul 3, 2021",0.283
"Jul 3, 2021",0.322
"Jul 3, 2021",0.033
"Jul 13, 2021",
"Jul 23, 2021",
"Aug 2, 2021",
"Aug 12, 2021",0.209
"Aug 12, 2021",
"Aug 22, 2021",
"Sep 1, 2021",
"Sep 11, 2021",
"Sep 16, 2021",0.377
"Sep 16, 2021",0.334
"Sep 21, 2021",
"Sep 26, 2021",0.361
"Oct 1, 2021",0.416
"Oct 1, 2021",
"Oct 1, 2021",0.379
"Oct 1, 2021",0.442
"Oct 6, 2021",0.381
"Oct 6, 2021",0.365
"Oct 11, 2021",0.412
"Oct 11, 2021",
"Oct 11, 2021",0.369
"Oct 11, 2021",0.361
"Oct 16, 2021",0.457
"Oct 16, 2021",0.496
"Oct 21, 2021",
"Oct 21, 2021",0.357
"Oct 21, 2021",0.434
"Oct 21, 2021",0.463
"Oct 26, 2021",0.307
"Oct 26, 2021",0.363
"Oct 26, 2021",0.402
"Oct 31, 2021",0.225
"Oct 31, 2021",
"Oct 31, 2021",0.291
"Oct 31, 2021",0.363
"Nov 5, 2021",
"Nov 10, 2021",0.221
"Nov 10, 2021",
"Nov 10, 2021",0.268
"Nov 10, 2021",0.326
"Nov 15, 2021",0.132
"Nov 20, 2021",0.193
"Nov 20, 2021",
"Nov 25, 2021",0.147
"Nov 25, 2021",0.244
"Nov 25, 2021",0.303
"Nov 30, 2021",
"Dec 5, 2021",0.178
"Dec 5, 2021",0.277
"Dec 5, 2021",0.34
"Dec 10, 2021",0.149
"Dec 10, 2021",0.221
"Dec 10, 2021",
"Dec 10, 2021",0.303
"Dec 15, 2021",0.091
"Dec 20, 2021",0.153
"Dec 20, 2021",0.248
"Dec 20, 2021",
"Dec 20, 2021",0.33
"Dec 25, 2021",0.162
"Dec 25, 2021",0.244
"Dec 25, 2021",0.314
"Dec 30, 2021",
"Dec 30, 2021",
"Jan 9, 2022",0.15
"Jan 9, 2022",0.246
"Jan 9, 2022",
"Jan 9, 2022",0.262
"Jan 14, 2022",0.103
"Jan 14, 2022",0.205
"Jan 14, 2022",0.217
"Jan 19, 2022",0.154
"Jan 19, 2022",0.23
"Jan 19, 2022",
"Jan 19, 2022",0.293
"Jan 24, 2022",0.252
"Jan 29, 2022",0.099
"Jan 29, 2022",0.139
"Jan 29, 2022",0.17
"Jan 29, 2022",
"Feb 3, 2022",0.103
"Feb 3, 2022",0.135
"Feb 3, 2022",0.162
"Feb 8, 2022",0.093
"Feb 8, 2022",0.119
"Feb 8, 2022",0.154
"Feb 8, 2022",
"Feb 13, 2022",0.087
"Feb 13, 2022",0.119
"Feb 13, 2022",0.154
"Feb 18, 2022",0.095
"Feb 18, 2022",0.111
"Feb 18, 2022",0.135
"Feb 18, 2022",
"Feb 23, 2022",0.079
"Feb 23, 2022",0.103
"Feb 23, 2022",0.131
"Feb 28, 2022",0.08
"Feb 28, 2022",0.103
"Feb 28, 2022",
"Feb 28, 2022",0.127
"Mar 5, 2022",0.081
"Mar 5, 2022",0.1
"Mar 5, 2022",0.123
"Mar 10, 2022",
"Mar 10, 2022",0.111
"Mar 15, 2022",0.087
"Mar 15, 2022",0.103
"Mar 15, 2022",0.119
"Mar 20, 2022",0.086
"Mar 20, 2022",
"Mar 20, 2022",0.1
"Mar 25, 2022",0.076
"Mar 30, 2022",0.089
"Mar 30, 2022",0.103
"Mar 30, 2022",
"Mar 30, 2022",0.115
"Apr 4, 2022",0.071
"Apr 4, 2022",0.084
"Apr 4, 2022",-0.002
"Apr 9, 2022",0.099
"Apr 9, 2022",0.105
"Apr 9, 2022",
"Apr 9, 2022",0.111
"Apr 14, 2022",0.045
"Apr 19, 2022",0.052
"Apr 19, 2022",0.088
"Apr 19, 2022",
"Apr 19, 2022",0.103
"Apr 29, 2022",0.074
"Apr 29, 2022",0.092
"Apr 29, 2022",0.103
"Apr 29, 2022",
"May 4, 2022",0.083
"May 4, 2022",0.088
"May 4, 2022",0.1
"May 9, 2022",0.08
"May 9, 2022",
"May 9, 2022",0.08
"May 14, 2022",0.025
"May 14, 2022",0.088
"May 14, 2022",0.096
"May 19, 2022",
"May 19, 2022",
"May 24, 2022",0.061
"May 24, 2022",0.072
"May 24, 2022",0.08
"May 29, 2022",0.064
"May 29, 2022",
"May 29, 2022",0.084
"May 29, 2022",0.092
"Jun 3, 2022",0.075
"Jun 3, 2022",0.084
"Jun 3, 2022",0.084
"Jun 8, 2022",
"Jun 8, 2022",0.064
"Jun 8, 2022",0.088
"Jun 8, 2022",0.072
"Jun 13, 2022",0.067
"Jun 13, 2022",0.088
"Jun 18, 2022",
"Jun 18, 2022",0.127
"Jun 28, 2022",
"Jul 8, 2022",
"Jul 18, 2022",
"Jul 28, 2022",
"Jul 28, 2022",0.224
"Aug 7, 2022",
"Aug 17, 2022",
"Aug 27, 2022",0.213
"Aug 27, 2022",
"Sep 1, 2022",0.252
"Sep 1, 2022",0.301
"Sep 1, 2022",0.311
"Sep 6, 2022",
"Sep 6, 2022",0.318
"Sep 16, 2022",
"Sep 26, 2022",
"Oct 1, 2022",0.107
"Oct 1, 2022",0.283
"Oct 1, 2022",0.326
"Oct 6, 2022",
"Oct 16, 2022",
"Oct 16, 2022",
"Oct 21, 2022",0.268
"Oct 26, 2022",0.244
"Oct 26, 2022",
"Oct 26, 2022",0.311
"Oct 26, 2022",0.326
"Oct 31, 2022",0.225
"Oct 31, 2022",0.291
"Oct 31, 2022",0.299
"Nov 5, 2022",0.201
"Nov 5, 2022",
"Nov 5, 2022",0.264
"Nov 5, 2022",0.283
"Nov 10, 2022",0.174
"Nov 10, 2022",0.244
"Nov 10, 2022",0.256
"Nov 15, 2022",0.157
"Nov 15, 2022",
"Nov 15, 2022",0.225
"Nov 15, 2022",0.256
"Nov 20, 2022",0.152
"Nov 20, 2022",0.137
"Nov 20, 2022",0.146
"Nov 20, 2022",0.209
"Nov 20, 2022",0.229
"Nov 25, 2022",0.114
"Nov 25, 2022",
"Nov 25, 2022",0.17
"Nov 25, 2022",0.189
"Nov 30, 2022",0.136
"Nov 30, 2022",0.178
"Nov 30, 2022",0.213
"Dec 5, 2022",0.1
"Dec 5, 2022",0.15
"Dec 5, 2022",
"Dec 5, 2022",0.193
"Dec 10, 2022",0.127
"Dec 10, 2022",0.166
"Dec 10, 2022",0.189
"Dec 15, 2022",0.096
"Dec 15, 2022",
"Dec 15, 2022",0.146
"Dec 20, 2022",0.119
"Dec 20, 2022",0.158
"Dec 20, 2022",0.182
"Dec 25, 2022",0.123
"Dec 25, 2022",
"Dec 25, 2022",0.152
"Dec 25, 2022",0.178
"Dec 30, 2022",0.119
"Dec 30, 2022",0.146
"Dec 30, 2022",0.17
"Jan 4, 2023",
"Jan 4, 2023",
"Jan 4, 2023",0.111
"Jan 4, 2023",0.158
"Jan 9, 2023",0.123
"Jan 9, 2023",0.152
"Jan 9, 2023",0.17
"Jan 14, 2023",0.115
"Jan 14, 2023",0.144
"Jan 14, 2023",
"Jan 14, 2023",0.166
"Jan 19, 2023",0.115
"Jan 19, 2023",0.135
"Jan 19, 2023",0.154
"Jan 24, 2023",0.103
"Jan 24, 2023",
"Jan 24, 2023",0.127
"Jan 24, 2023",0.158
"Jan 29, 2023",0.111
"Jan 29, 2023",0.131
"Jan 29, 2023",0.154
"Feb 3, 2023",0.115
"Feb 3, 2023",0.135
"Feb 3, 2023",
"Feb 3, 2023",0.158
"Feb 3, 2023",0.131
"Feb 3, 2023",0.154
"Feb 8, 2023",0.107
"Feb 8, 2023",0.123
"Feb 8, 2023",0.143
"Feb 13, 2023",0.111
"Feb 13, 2023",
"Feb 13, 2023",0.127
"Feb 13, 2023",0.143
"Feb 18, 2023",0.107
"Feb 18, 2023",0.123
"Feb 18, 2023",0.139
"Feb 23, 2023",0.1
"Feb 23, 2023",
"Feb 23, 2023",0.119
"Feb 23, 2023",0.139
