,X,grid_id,species,distance_bin,n,ID,lat,lon,ele,grid_name,date,start_time,TOD,observers,hab_main
1,1,G119.1,Asian koel,25.50m,1,1,18.18148398,74.78560296,547.162109,G119,25-12-22,7:01,morning,"RD, MS",cropland
2,2,G119.1,Indian robin,25.50m,1,1,18.18148398,74.78560296,547.162109,G119,25-12-22,7:01,morning,"RD, MS",cropland
3,3,G119.1,Green bee eater,25.50m,1,1,18.18148398,74.78560296,547.162109,G119,25-12-22,7:01,morning,"RD, MS",cropland
4,4,G119.1,Zitting cisticola,25.50m,1,1,18.18148398,74.78560296,547.162109,G119,25-12-22,7:01,morning,"RD, MS",cropland
5,5,G119.1,Red vented bulbul,50.100m,1,1,18.18148398,74.78560296,547.162109,G119,25-12-22,7:01,morning,"RD, MS",cropland
6,6,G119.2,Red vented bulbul,10.25m,1,2,18.18295802,74.78280298,547.374695,G119,25-12-22,7:17,morning,"RD, MS",cropland
7,7,G119.2,Large billed crow,25.50m,1,2,18.18295802,74.78280298,547.374695,G119,25-12-22,7:17,morning,"RD, MS",cropland
8,8,G119.2,Great tit,25.50m,1,2,18.18295802,74.78280298,547.374695,G119,25-12-22,7:17,morning,"RD, MS",cropland
9,9,G119.2,Scaly breasted Munia,50.100m,8,2,18.18295802,74.78280298,547.374695,G119,25-12-22,7:17,morning,"RD, MS",cropland
10,10,G119.2,Zitting cisticola,10.25m,1,2,18.18295802,74.78280298,547.374695,G119,25-12-22,7:17,morning,"RD, MS",cropland
11,11,G119.2,Zitting cisticola,50.100m,3,2,18.18295802,74.78280298,547.374695,G119,25-12-22,7:17,morning,"RD, MS",cropland
12,12,G119.3,Bay backed shrike ,50.100m,1,3,18.18496297,74.78061296,545.241943,G119,25-12-22,7:35,morning,"RD, MS",cropland
13,13,G119.3,Laughing dove,10.25m,2,3,18.18496297,74.78061296,545.241943,G119,25-12-22,7:35,morning,"RD, MS",cropland
14,14,G119.3,Laughing dove,50.100m,1,3,18.18496297,74.78061296,545.241943,G119,25-12-22,7:35,morning,"RD, MS",cropland
15,15,G119.3,Jungle babbler,10.25m,1,3,18.18496297,74.78061296,545.241943,G119,25-12-22,7:35,morning,"RD, MS",cropland
16,16,G119.3,Jungle babbler,50.100m,2,3,18.18496297,74.78061296,545.241943,G119,25-12-22,7:35,morning,"RD, MS",cropland
17,17,G119.3,Green bee eater,50.100m,1,3,18.18496297,74.78061296,545.241943,G119,25-12-22,7:35,morning,"RD, MS",cropland
18,18,G119.3,Black drongo,10.25m,1,3,18.18496297,74.78061296,545.241943,G119,25-12-22,7:35,morning,"RD, MS",cropland
19,19,G119.3,Greater coucal,25.50m,1,3,18.18496297,74.78061296,545.241943,G119,25-12-22,7:35,morning,"RD, MS",cropland
20,20,G119.4,Red vented bulbul,10.25m,1,4,18.186104,74.77800099,550.818909,G119,25-12-22,7:56,morning,"RD, MS",cropland
21,21,G119.4,Red vented bulbul,25.50m,1,4,18.186104,74.77800099,550.818909,G119,25-12-22,7:56,morning,"RD, MS",cropland
22,22,G119.4,Red vented bulbul,50.100m,3,4,18.186104,74.77800099,550.818909,G119,25-12-22,7:56,morning,"RD, MS",cropland
23,23,G119.4,Zitting cisticola,25.50m,1,4,18.186104,74.77800099,550.818909,G119,25-12-22,7:56,morning,"RD, MS",cropland
24,24,G119.4,Indian robin,50.100m,2,4,18.186104,74.77800099,550.818909,G119,25-12-22,7:56,morning,"RD, MS",cropland
25,25,G119.4,Indian white eye,25.50m,1,4,18.186104,74.77800099,550.818909,G119,25-12-22,7:56,morning,"RD, MS",cropland
26,26,G119.4,Booted warbler,5.10m,1,4,18.186104,74.77800099,550.818909,G119,25-12-22,7:56,morning,"RD, MS",cropland
27,27,G119.5,Rosy starling,10.25m,2,5,18.18811499,74.77600099,546.387024,G119,25-12-22,8:17,morning,"RD, MS",cropland
28,28,G119.5,Red vented bulbul,10.25m,3,5,18.18811499,74.77600099,546.387024,G119,25-12-22,8:17,morning,"RD, MS",cropland
29,29,G119.5,Jungle babbler,25.50m,6,5,18.18811499,74.77600099,546.387024,G119,25-12-22,8:17,morning,"RD, MS",cropland
