,Common.name,Scientific.name,IUCN.status,Number of records
1,Ashy crowned sparrow lark,Eremopterix griseus,Least Concern,106
2,Ashy drongo,Dicrurus leucophaeus,Least Concern,1
3,Ashy prinia,Prinia socialis,Least Concern,61
4,Asian koel,Eudynamys scolopaceus,Least Concern,4
5,Bar winged flycatcher shrike,Hemipus picatus,Least Concern,1
6,Barn swallow,Hirundo rustica,Least Concern,283
7,Bay backed shrike,Lanius vittatus,Least Concern,101
8,Baya weaver,Ploceus philippinus,Least Concern,319
9,Black drongo,Dicrurus macrocercus,Least Concern,277
10,Black-headed bunting,Emberiza melanocephala,Least Concern,58
11,Black kite,Milvus migrans,Least Concern,41
12,Black-winged kite,Elanus caeruleus,Least Concern,6
13,Black-winged stilt,Himantopus himantopus,Least Concern,13
14,Bluethroat,Luscinia svecica,Least Concern,3
15,Blyth's reed warbler,Acrocephalus dumetorum,Least Concern,33
16,Bonelli's eagle,Aquila fasciata,Least Concern,3
17,Booted eagle,Hieraaetus pennatus,Least Concern,1
18,Booted warbler,Iduna caligata,Least Concern,52
19,Brahminy kite,Haliastur indus,Least Concern,1
20,Brahminy starling,Sturnia pagodarum,Least Concern,75
21,Brown rock chat,Oenanthe fusca,Least Concern,2
22,Small Buttonquail,Turnix sylvaticus,Least Concern,3
23,Cattle egret,Bubulcus ibis,Least Concern,56
24,Chestnut-bellied sandgrouse,Pterocles exustus,Least Concern,23
25,Citrine wagtail,Motacilla citreola,Least Concern,2
26,Common babbler,Turdoides caudatus,Least Concern,1
27,Common iora,Aegithina tiphia,Least Concern,5
28,Common kestrel,Falco tinnunculus,Least Concern,16
29,Common kingfisher,Alcedo atthis,Least Concern,2
30,Common myna,Acridotheres tristis,Least Concern,109
31,Common quail,Coturnix coturnix,Least Concern,2
32,Common rosefinch,Carpodacus erythrinus,Least Concern,9
33,Common sandpiper,Actitis hypoleucos,Least Concern,5
34,Common woodshrike,Tephrodornis pondicerianus,Least Concern,2
35,Coppersmith barbet,Psilopogon haemacephalus,Least Concern,4
36,Crested bunting,Emberiza lathami,Least Concern,4
37,Crested treeswift,Hemiprocne coronata,Least Concern,3
38,Darter,Anhinga melanogaster,Least Concern,1
39,Desert wheatear,Oenanthe deserti,Least Concern,3
40,Dusky crag martin,Ptyonoprogne concolor,Least Concern,3
41,Eastern imperial eagle,Aquila heliaca,Vulnerable,1
42,Eurasian collared dove,Streptopelia decaocto,Least Concern,129
43,Eurasian coot,Fulica atra,Least Concern,6
44,Eurasian hoopoe,Upupa epops,Least Concern,9
45,Eurasian sparrowhawk,Accipiter nisus,Least Concern,1
46,Golden oriole,Oriolus oriolus,Least Concern,3
47,Great egret,Ardea alba,Least Concern,51
48,Great grey shrike,Lanius excubitor,Least Concern,30
49,Great tit,Parus major,Least Concern,1
50,Greater coucal,Centropus sinensis,Least Concern,14
51,Green bee-eater,Merops orientalis,Least Concern,244
52,Green sandpiper,Tringa ochropus,Least Concern,1
53,Grey babbler,Turdoides caeruleus,Least Concern,331
54,Grey-breasted prinia,Prinia hodgsonii,Least Concern,4
55,Grey francolin,Francolinus pondicerianus,Least Concern,47
56,Grey heron,Ardea cinerea,Least Concern,1
57,Grey-necked bunting,Emberiza buchanani,Least Concern,49
58,Grey wagtail,Motacilla cinerea,Least Concern,36
59,House sparrow,Passer domesticus,Least Concern,148
60,Indian bushlark,Mirafra erythroptera,Near Threatened,104
61,Indian cormorant,Phalacrocorax fuscicollis,Least Concern,3
62,Indian courser,Cursorius coromandelicus,Endangered,10
63,Indian eagle owl,Bubo bengalensis,Least Concern,4
64,Indian peafowl,Pavo cristatus,Least Concern,4
65,Indian robin,Saxicoloides fulicatus,Least Concern,119
66,Indian roller,Coracias benghalensis,Least Concern,7
67,Indian silverbill,Euodice malabarica,Least Concern,187
68,Indian white-eye,Zosterops palpebrosus,Least Concern,14
